,category,lat,lng,name,rating,reviews,yelpid
0,chinese,43.65669,-79.38385,GB Hand-pulled Noodles,4.5,77,gb-hand-pulled-noodles-toronto
1,chinese,43.65385,-79.39796,Swatow Restaurant,4.0,203,swatow-restaurant-toronto
2,chinese,43.65378,-79.3987,Dumpling House Restaurant,3.5,420,dumpling-house-restaurant-toronto
3,chinese,43.65574,-79.4098,DaiLo,4.0,152,dailo-toronto
4,chinese,43.6546713,-79.386172,Lai Wah Heen,3.5,144,lai-wah-heen-toronto
5,chinese,43.6545068365,-79.3984092772,Chine Hot Pot & Noodles,4.0,88,chine-hot-pot-and-noodles-toronto
6,chinese,43.6514,-79.38312,Noodle King,4.0,54,noodle-king-toronto
7,chinese,43.65241,-79.39739,Homemade Ramen,4.0,117,homemade-ramen-toronto
8,chinese,43.6534805,-79.3968582,Hong Kong Bistro Cafe,4.0,52,hong-kong-bistro-cafe-toronto
9,chinese,43.6644769,-79.4141546,Chinese Dumpling House,4.0,58,chinese-dumpling-house-toronto-2
10,chinese,43.6537999,-79.39598,Yummy Yummy Dumplings,4.0,142,yummy-yummy-dumplings-toronto
11,chinese,43.6473690555,-79.3867627904,Lee Chen Asian Bistro,4.0,31,lee-chen-asian-bistro-toronto-2
12,chinese,43.6550882011,-79.3851792651,Yueh Tung Restaurant,3.5,133,yueh-tung-restaurant-toronto
13,chinese,43.65336,-79.39718,House of Gourmet,3.5,289,house-of-gourmet-toronto
14,chinese,43.67132,-79.38741,Lee Chen Asian Bistro,3.5,124,lee-chen-asian-bistro-toronto
15,chinese,43.65381,-79.39793,Peoples Eatery,4.0,78,peoples-eatery-toronto-2
16,chinese,43.6531,-79.3985,King's Noodle Restaurant,3.5,300,kings-noodle-restaurant-toronto
17,chinese,43.66615,-79.38737,Crown Princess Fine Dining,3.5,197,crown-princess-fine-dining-toronto
18,chinese,43.6543527997,-79.3983133882,Rol San,3.5,480,rol-san-toronto
19,chinese,43.65901,-79.34835,Lucky Star Restaurant,4.0,16,lucky-star-restaurant-toronto
20,chinese,43.654316,-79.390367,Mean Bao,3.5,72,mean-bao-toronto
21,chinese,43.63877,-79.3806,Pearl Harbourfront Chinese Cuisine,3.5,163,pearl-harbourfront-chinese-cuisine-toronto-2
22,chinese,43.65574,-79.4098,LoPan,4.0,13,lopan-toronto
23,chinese,43.67208,-79.32204,Hakka Wow,4.0,40,hakka-wow-toronto
24,chinese,43.65567,-79.39857,Sichuan Garden Restaurant,3.5,41,sichuan-garden-restaurant-toronto
25,chinese,43.67094,-79.39086,Dynasty Chinese Cuisine,3.5,85,dynasty-chinese-cuisine-toronto
26,chinese,43.6446974,-79.3923951,Luckee,3.5,129,luckee-toronto
27,chinese,43.66502,-79.38476,Not Just Noodles,3.5,120,not-just-noodles-toronto
28,chinese,43.665,-79.38511,Chopsticks House,3.5,23,chopsticks-house-toronto
29,chinese,43.6805687,-79.3375626,Ha Gow Dim Sum House,4.0,79,ha-gow-dim-sum-house-toronto
30,chinese,43.6531496605,-79.3974486528,Lamb Kebab - Savory Chinese Crepes,4.0,13,lamb-kebab-savory-chinese-crepes-toronto
31,chinese,43.7289535239,-79.4030993401,Lime Asian Kitchen,4.0,30,lime-asian-kitchen-toronto
32,chinese,43.65385,-79.39515,Asian Legend,3.5,181,asian-legend-toronto
33,chinese,43.654,-79.39891,Taste of China,3.5,87,taste-of-china-toronto
34,chinese,43.6678837187,-79.3857640952,Dumpling Queen,3.5,102,dumpling-queen-toronto
35,chinese,43.64362,-79.40509,Bamboo Buddha Chinese Resturant,3.5,53,bamboo-buddha-chinese-resturant-toronto
36,chinese,43.66678,-79.34549,Simon's Wok,4.0,32,simons-wok-toronto
37,chinese,43.6888933555,-79.3943411566,Kwan,3.5,102,kwan-toronto
